Target Distance:100 , Step Size: 10
35(x,y) = (-64.5731, -39.6713)
36(x,y) = (-65.0965, -49.6576)
37(x,y) = (-74.9127, -51.5657)
38(x,y) = (-65.2535, -48.9775)
39(x,y) = (-72.567, -42.1575)
40(x,y) = (-64.3755, -47.8933)
41(x,y) = (-64.3755, -57.8933)
42(x,y) = (-56.8284, -64.4539)
43(x,y) = (-47.2158, -67.2103)
44(x,y) = (-56.9187, -69.6295)
45(x,y) = (-66.1238, -65.7222)
46(x,y) = (-56.2757, -63.9857)
47(x,y) = (-58.1838, -54.1694)
48(x,y) = (-68.129, -53.1241)
49(x,y) = (-71.5492, -43.7272)
50(x,y) = (-65.3926, -51.6073)
51(x,y) = (-66.957, -61.4842)
52(x,y) = (-76.7007, -59.2347)
53(x,y) = (-80.9268, -50.1716)
54(x,y) = (-86.8047, -58.2618)
After 54 steps,the subject has the following location.
(m,a) = (104.544, -146.131)
Average outward distance per step = 1.936
1(x,y) = (-3.58368, -9.3358)
2(x,y) = (4.50649, -15.2137)
3(x,y) = (-1.78671, -7.4422)
4(x,y) = (5.15987, -14.6356)
5(x,y) = (10.1599, -23.2958)
6(x,y) = (0.762944, -19.8756)
7(x,y) = (-4.82899, -28.166)
8(x,y) = (-6.39333, -38.0429)
9(x,y) = (-16.3872, -38.3919)
10(x,y) = (-19.9709, -47.7277)
11(x,y) = (-11.3992, -52.8781)
12(x,y) = (-10.5277, -42.9161)
13(x,y) = (-20.3758, -44.6526)
14(x,y) = (-27.9229, -51.2132)
15(x,y) = (-18.3598, -54.1369)
16(x,y) = (-10.5884, -47.8437)
17(x,y) = (-0.885396, -50.2629)
18(x,y) = (-2.79349, -40.4467)
19(x,y) = (2.05461, -49.1929)
20(x,y) = (3.79109, -59.0409)
21(x,y) = (12.8542, -63.2671)
22(x,y) = (5.54063, -56.4471)
23(x,y) = (-3.11962, -51.4471)
24(x,y) = (-9.41282, -59.2186)
25(x,y) = (-1.75238, -52.7907)
26(x,y) = (7.95058, -55.2099)
27(x,y) = (16.5222, -50.0596)
28(x,y) = (22.258, -41.868)
29(x,y) = (12.4417, -43.7761)
30(x,y) = (16.0254, -34.4403)
31(x,y) = (20.5653, -43.3504)
32(x,y) = (13.4943, -50.4215)
33(x,y) = (14.3658, -40.4595)
34(x,y) = (7.54583, -33.146)
35(x,y) = (11.4531, -23.9409)
36(x,y) = (1.55046, -25.3327)
37(x,y) = (2.07382, -35.319)
38(x,y) = (9.50527, -42.0103)
39(x,y) = (-0.00529396, -38.9201)
40(x,y) = (8.82418, -43.6148)
41(x,y) = (-1.12104, -44.6601)
42(x,y) = (-4.70472, -53.9959)
43(x,y) = (-12.0183, -60.8159)
44(x,y) = (-3.18878, -56.1212)
45(x,y) = (-10.7359, -62.6818)
46(x,y) = (-17.5559, -69.9953)
47(x,y) = (-14.4657, -60.4847)
48(x,y) = (-13.5941, -70.4467)
49(x,y) = (-16.3505, -80.0593)
50(x,y) = (-24.9222, -74.9089)
51(x,y) = (-29.9222, -83.5692)
52(x,y) = (-22.2617, -77.1413)
53(x,y) = (-32.0432, -79.2204)
54(x,y) = (-41.7462, -81.6396)
55(x,y) = (-43.1379, -91.5423)
After 55 steps,the subject has the following location.
(m,a) = (101.197, -115.231)
Average outward distance per step = 1.83995
1(x,y) = (9.27184, 3.74607)
2(x,y) = (19.2581, 4.26943)
3(x,y) = (20.1297, -5.69252)
4(x,y) = (30.0066, -7.25687)
5(x,y) = (24.8562, -15.8285)
6(x,y) = (26.5927, -5.98046)
7(x,y) = (32.6108, -13.9668)
8(x,y) = (40.5972, -19.985)
9(x,y) = (30.6109, -19.4616)
10(x,y) = (37.4309, -12.1481)
11(x,y) = (35.3518, -21.9295)
12(x,y) = (25.6081, -24.1791)
13(x,y) = (30.148, -33.0891)
14(x,y) = (31.0195, -43.0511)
15(x,y) = (38.8996, -49.2077)
16(x,y) = (47.8876, -44.824)
17(x,y) = (56.8755, -40.4403)
18(x,y) = (52.6493, -31.3772)
19(x,y) = (46.9136, -39.5687)
20(x,y) = (48.4779, -49.4456)
21(x,y) = (49.3495, -59.4075)
22(x,y) = (54.9414, -67.6979)
23(x,y) = (46.955, -61.6798)
24(x,y) = (53.9016, -68.8732)
25(x,y) = (45.4211, -63.574)
26(x,y) = (37.874, -70.1346)
27(x,y) = (32.4276, -78.5213)
28(x,y) = (22.8646, -81.445)
29(x,y) = (23.2136, -71.4511)
30(x,y) = (32.4854, -75.1971)
31(x,y) = (29.8972, -84.8564)
32(x,y) = (28.3329, -94.7333)
33(x,y) = (21.1395, -101.68)
After 33 steps,the subject has the following location.
(m,a) = (103.854, -78.2554)
Average outward distance per step = 3.14709
1(x,y) = (0.52336, 9.9863)
2(x,y) = (-9.47512, 10.1608)
3(x,y) = (-18.5382, 5.93464)
4(x,y) = (-17.4929, -4.01058)
5(x,y) = (-12.7982, -12.8401)
6(x,y) = (-22.7921, -12.4911)
7(x,y) = (-19.2084, -21.8269)
8(x,y) = (-18.6851, -31.8132)
9(x,y) = (-10.9136, -25.52)
10(x,y) = (-0.951658, -26.3915)
11(x,y) = (-6.54359, -34.6819)
12(x,y) = (-15.9988, -31.4262)
13(x,y) = (-7.80725, -25.6904)
14(x,y) = (1.93645, -23.4409)
15(x,y) = (11.9304, -23.7899)
16(x,y) = (20.5906, -18.7899)
17(x,y) = (14.434, -10.9098)
18(x,y) = (10.8503, -1.57402)
19(x,y) = (4.55711, 6.19744)
20(x,y) = (-5.44289, 6.19744)
21(x,y) = (-1.37552, -2.93801)
22(x,y) = (-5.12159, 6.33382)
23(x,y) = (0.0287941, -2.23785)
24(x,y) = (-5.84906, -10.328)
25(x,y) = (0.0287941, -2.23785)
26(x,y) = (-0.14573, -12.2363)
27(x,y) = (-9.35078, -16.1436)
28(x,y) = (-3.61501, -7.95212)
29(x,y) = (-12.2753, -2.95212)
30(x,y) = (-21.0215, 1.89598)
31(x,y) = (-11.6245, -1.52422)
32(x,y) = (-9.03635, -11.1835)
33(x,y) = (-18.649, -13.9399)
34(x,y) = (-9.58589, -9.71367)
35(x,y) = (-10.8046, 0.211791)
36(x,y) = (-20.7909, -0.311568)
37(x,y) = (-30.7894, -0.137044)
38(x,y) = (-21.0457, -2.38655)
39(x,y) = (-12.5652, 2.91264)
40(x,y) = (-4.2748, 8.50457)
41(x,y) = (-13.6106, 12.0882)
42(x,y) = (-22.4401, 7.39353)
43(x,y) = (-32.2882, 9.13001)
44(x,y) = (-32.4627, -0.868464)
45(x,y) = (-22.8034, -3.45665)
46(x,y) = (-16.2428, -11.0038)
47(x,y) = (-7.33276, -15.5437)
48(x,y) = (2.56992, -14.1519)
49(x,y) = (-0.850285, -23.5489)
50(x,y) = (3.05703, -32.7539)
51(x,y) = (7.90512, -24.0077)
52(x,y) = (14.7251, -16.6942)
53(x,y) = (20.317, -8.40379)
54(x,y) = (20.317, -18.4038)
55(x,y) = (16.2497, -9.26834)
56(x,y) = (18.6689, 0.434622)
57(x,y) = (10.3785, 6.02655)
58(x,y) = (11.5972, -3.89891)
59(x,y) = (2.76773, -8.59363)
60(x,y) = (-7.08035, -10.3301)
61(x,y) = (-3.17304, -1.12506)
62(x,y) = (3.25484, 6.53539)
63(x,y) = (2.03615, 16.4608)
64(x,y) = (3.25484, 26.3863)
65(x,y) = (3.42936, 36.3848)
66(x,y) = (8.57974, 27.8131)
67(x,y) = (6.84326, 37.6612)
68(x,y) = (-0.470275, 30.8412)
69(x,y) = (-7.16158, 38.2727)
70(x,y) = (0.0318174, 45.2192)
71(x,y) = (-9.24002, 41.4732)
72(x,y) = (-10.8044, 51.3501)
73(x,y) = (-1.34918, 48.0944)
74(x,y) = (-7.64238, 55.8658)
75(x,y) = (-6.42369, 45.9404)
76(x,y) = (-8.16017, 36.0923)
77(x,y) = (-13.7521, 27.8019)
78(x,y) = (-13.4031, 17.808)
79(x,y) = (-6.84252, 10.2609)
80(x,y) = (0.70458, 16.8215)
81(x,y) = (8.36502, 10.3936)
82(x,y) = (6.62854, 0.545551)
83(x,y) = (10.3746, -8.72629)
84(x,y) = (11.5933, 1.19917)
85(x,y) = (1.71642, -0.36517)
86(x,y) = (11.6191, -1.7569)
87(x,y) = (10.5738, -11.7021)
88(x,y) = (20.2768, -14.1213)
89(x,y) = (29.4122, -18.1887)
90(x,y) = (27.5041, -8.37243)
91(x,y) = (29.5833, 1.40904)
92(x,y) = (25.1995, -7.5789)
93(x,y) = (16.6279, -12.7293)
94(x,y) = (17.1512, -2.74298)
95(x,y) = (22.4504, -11.2235)
96(x,y) = (23.6691, -21.1489)
97(x,y) = (28.209, -12.2389)
98(x,y) = (19.2211, -16.6226)
99(x,y) = (10.0856, -20.6899)
100(x,y) = (1.51395, -15.5396)
101(x,y) = (-6.14649, -21.9674)
102(x,y) = (-10.2139, -31.1029)
103(x,y) = (-12.802, -21.4436)
104(x,y) = (-17.1858, -12.4557)
105(x,y) = (-7.4828, -14.8749)
106(x,y) = (-17.3309, -16.6114)
107(x,y) = (-7.93396, -13.1912)
108(x,y) = (1.94293, -14.7555)
109(x,y) = (-8.05555, -14.9301)
110(x,y) = (1.07991, -10.8627)
111(x,y) = (8.15097, -3.79162)
112(x,y) = (8.67433, -13.7779)
113(x,y) = (18.0713, -10.3577)
114(x,y) = (28.0165, -9.31243)
115(x,y) = (19.6298, -14.7588)
116(x,y) = (28.7652, -18.8262)
117(x,y) = (22.472, -26.5976)
118(x,y) = (25.5622, -17.0871)
119(x,y) = (29.7884, -26.1502)
120(x,y) = (39.7747, -26.6735)
121(x,y) = (45.6525, -34.7637)
122(x,y) = (47.902, -25.02)
123(x,y) = (56.7315, -29.7147)
124(x,y) = (47.3957, -33.2984)
125(x,y) = (56.2252, -37.9931)
126(x,y) = (66.1279, -39.3848)
127(x,y) = (74.4182, -33.7929)
128(x,y) = (68.2616, -25.9128)
129(x,y) = (62.9624, -34.3933)
130(x,y) = (53.2595, -31.9741)
131(x,y) = (59.2776, -39.9604)
132(x,y) = (68.8902, -42.7168)
133(x,y) = (59.7548, -38.6494)
134(x,y) = (59.9293, -28.6509)
135(x,y) = (55.8619, -37.7864)
136(x,y) = (52.4417, -28.3895)
137(x,y) = (46.5639, -20.2993)
138(x,y) = (46.7384, -30.2978)
139(x,y) = (41.588, -38.8695)
140(x,y) = (47.8812, -46.6409)
141(x,y) = (54.0379, -54.521)
142(x,y) = (64.0363, -54.6955)
143(x,y) = (63.513, -44.7092)
144(x,y) = (53.5191, -45.0582)
145(x,y) = (55.9383, -54.7612)
146(x,y) = (65.0014, -50.535)
147(x,y) = (61.094, -59.7401)
148(x,y) = (67.914, -52.4265)
149(x,y) = (71.6601, -43.1547)
150(x,y) = (62.5246, -39.0873)
151(x,y) = (54.3331, -44.8231)
152(x,y) = (44.7205, -42.0667)
153(x,y) = (44.546, -52.0652)
154(x,y) = (54.0012, -55.3209)
155(x,y) = (61.8813, -61.4775)
156(x,y) = (67.1805, -69.958)
157(x,y) = (57.3324, -71.6945)
158(x,y) = (48.1273, -75.6018)
159(x,y) = (49.346, -85.5272)
160(x,y) = (58.0063, -80.5272)
161(x,y) = (50.4592, -87.0878)
After 161 steps,the subject has the following location.
(m,a) = (100.65, -59.9117)
Average outward distance per step = 0.625155
5times stepmax step= 161
5times stepmin step= 33
5times stepaverage step= 1.51505
